ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"194.233.69.126","elite","AS141995","SG","Contabo Asia Private Limited","168","Contabo Asia Private Limited","443","socks4","1515","1","2025-11-08T01:08:13.702Z","98","10702","10935"
"104.16.109.109","elite","AS13335","US","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","4713","16722","2025-11-08T01:08:13.672Z","100","72","72"
"91.92.133.51","elite","AS58224","IR","TIC","83","Telecommunication Company of Tehran","1080","socks4","4798","1","2025-11-08T01:08:13.984Z","86","3594","4193"
"159.246.55.153","elite","AS209242","US","Cloudflare London, LLC","7","Crowe LLP","80","http","2117","16714","2025-11-08T01:08:13.681Z","100","73","73"
"172.67.185.196","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4114","16715","2025-11-08T01:08:13.681Z","100","73","73"
"45.131.4.188","elite","AS209242","IR","Cloudflare London, LLC","7","Cloudhop","80","http","3688","16714","2025-11-08T01:08:13.684Z","100","79","79"
"185.221.160.227","elite","AS209242","RU","Cloudflare London, LLC","10","\"BaltTrade\" LLC","80","http","4330","16596","2025-11-08T01:08:13.698Z","100","79","79"
"103.234.27.153","elite","AS38200","BD","BTS Communications (BD) Ltd","193","Btscombd","1080","socks5","3804","1","2025-11-08T01:08:13.982Z","94","3935","4199"
"46.254.92.111","elite","AS209242","ID","Cloudflare London, LLC","7","PT MARONDI REZEKI BAROKAH BERSAMA","80","http","1092","16721","2025-11-08T01:08:13.673Z","100","74","74"
"185.2.100.85","elite","AS51167","FR","Contabo GmbH","6","Contabo GmbH","40826","socks4","3816","1","2025-11-08T01:08:13.978Z","100","10835","10879"
"159.246.55.15","elite","AS209242","US","Cloudflare London, LLC","4","Crowe LLP","80","http","4418","16775","2025-11-08T01:08:13.685Z","100","73","73"
"154.83.2.43","elite","AS209242","PH","Cloudflare London, LLC","3","Softmedia Entertainment Solutions, Inc","80","http","1703","16605","2025-11-08T01:08:13.690Z","100","74","74"
"104.21.16.211","elite","AS13335","US","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","389","16718","2025-11-08T01:08:13.676Z","100","35","35"
"181.214.1.160","elite","AS209242","DE","Cloudflare London, LLC","10","N/A","80","http","4165","16720","2025-11-08T01:08:13.675Z","100","35","35"
"190.2.135.45","elite","AS49981","NL","WorldStream B.V.","16","WorldStream B.V","13559","socks4","4019","1","2025-11-08T01:08:13.977Z","100","717","717"
"185.32.45.201","elite","AS200154","AZ","Izone LLC","76","Izone LLC","4153","socks4","1503","1","2025-11-08T01:08:13.700Z","95","10336","10902"
"45.80.108.147","elite","AS209242","EE","Cloudflare London, LLC","4","Welcomehost OU","80","http","3901","16722","2025-11-08T01:08:13.672Z","99","74","75"
